City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country
Korla,41.7597,86.1469,54.1,32,12,5.88,CN
At-Bashi,41.1702,75.8106,41.14,46,18,6.24,KG
Ushuaia,-54.8,-68.3,42.8,87,75,3.44,AR
Mahébourg,-20.4081,57.7,77.0,94,75,14.97,MU
Butaritari,3.0707,172.7902,82.96,76,88,12.37,KI
Busselton,-33.65,115.3333,66.87,73,99,2.1,AU
Ust-Nera,64.5667,143.2,25.92,86,100,3.83,RU
Hong Kong,22.2855,114.1577,75.0,88,100,1.01,HK
Hithadhoo,-0.6,73.0833,82.29,63,12,4.14,MV
Choix,26.7092,-108.3219,89.64,10,97,13.8,MX
Smoky Lake,54.1169,-112.4686,50.0,42,95,8.05,CA
Carnarvon,-24.8667,113.6333,62.6,67,0,6.91,AU
Kavaratti,10.5669,72.642,83.75,74,5,8.19,IN
Thompson,55.7435,-97.8558,48.2,49,20,11.5,CA
Segezha,63.7415,34.3222,29.21,84,77,8.14,RU
Lebu,-37.6167,-73.65,54.05,87,3,10.18,CL
Praia da Vitória,38.7333,-27.0667,61.0,88,75,7.27,PT
Tokmak,47.2514,35.7058,36.73,78,2,3.44,UA
Provideniya,64.3833,-173.3,39.2,65,0,3.78,RU
Tuatapere,-46.1333,167.6833,46.99,76,96,10.0,NZ
Jamestown,42.097,-79.2353,46.4,42,40,11.5,US
Cape Town,-33.9258,18.4232,63.0,94,75,12.66,ZA
Baoma,31.4859,106.1128,63.95,78,100,1.97,CN
Puerto Ayora,-0.7393,-90.3518,75.7,86,35,7.07,EC
Kuching,1.55,110.3333,75.2,100,20,1.14,MY
Arraial do Cabo,-22.9661,-42.0278,77.0,83,40,3.44,BR
Khandyga,62.6667,135.6,33.12,99,100,4.74,RU
Rikitea,-23.1203,-134.9692,77.74,73,83,7.16,PF
Margherita,27.2833,95.6833,75.81,34,40,1.86,IN
Varhaug,58.6147,5.6457,36.0,86,29,1.01,NO
Tateyama,34.9833,139.8667,57.2,54,40,5.75,JP
Palmira,3.5394,-76.3036,73.4,83,75,9.22,CO
Prince Rupert,54.3161,-130.3201,57.2,19,1,4.61,CA
Panabá,21.2833,-88.2667,87.71,44,93,14.14,MX
Olafsvik,64.8945,-23.7142,42.3,62,0,4.47,IS
Guerrero Negro,27.9769,-114.0611,63.63,57,98,16.31,MX
Hobart,-42.8794,147.3294,62.01,66,20,5.75,AU
